icase,CHL,MALH,P_LUB,rhow_350.0,rhow_360.0,rhow_370.0,rhow_380.0,rhow_390.0,rhow_400.0,rhow_410.0,rhow_420.0,rhow_430.0,rhow_440.0,rhow_450.0,rhow_460.0,rhow_470.0,rhow_480.0,rhow_490.0,rhow_500.0,rhow_510.0,rhow_520.0,rhow_530.0,rhow_540.0,rhow_550.0,rhow_560.0,rhow_570.0,rhow_580.0,rhow_590.0,rhow_600.0,rhow_610.0,rhow_620.0,rhow_630.0,rhow_640.0,rhow_650.0,rhow_660.0,rhow_670.0,rhow_680.0,rhow_690.0,rhow_700.0,rhow_710.0,rhow_720.0,rhow_730.0,rhow_740.0,rhow_750.0,rhow_760.0,rhow_770.0,rhow_780.0,rhow_790.0,rhow_800.0,rhow_810.0,rhow_820.0,rhow_830.0,rhow_840.0,rhow_850.0,rhow_860.0,rhow_870.0,rhow_880.0,rhow_890.0,rhow_900.0,rhow_910.0,rhow_920.0,rhow_930.0,rhow_940.0,D2rhow_350.0,D2rhow_360.0,D2rhow_370.0,D2rhow_380.0,D2rhow_390.0,D2rhow_400.0,D2rhow_410.0,D2rhow_420.0,D2rhow_430.0,D2rhow_440.0,D2rhow_450.0,D2rhow_460.0,D2rhow_470.0,D2rhow_480.0,D2rhow_490.0,D2rhow_500.0,D2rhow_510.0,D2rhow_520.0,D2rhow_530.0,D2rhow_540.0,D2rhow_550.0,D2rhow_560.0,D2rhow_570.0,D2rhow_580.0,D2rhow_590.0,D2rhow_600.0,D2rhow_610.0,D2rhow_620.0,D2rhow_630.0,D2rhow_640.0,D2rhow_650.0,D2rhow_660.0,D2rhow_670.0,D2rhow_680.0,D2rhow_690.0,D2rhow_700.0,D2rhow_710.0,D2rhow_720.0,D2rhow_730.0,D2rhow_740.0,D2rhow_750.0,D2rhow_760.0,D2rhow_770.0,D2rhow_780.0,D2rhow_790.0,D2rhow_800.0,D2rhow_810.0,D2rhow_820.0,D2rhow_830.0,D2rhow_840.0,D2rhow_850.0,D2rhow_860.0,D2rhow_870.0,D2rhow_880.0,D2rhow_890.0,D2rhow_900.0,D2rhow_910.0,D2rhow_920.0,D2rhow_930.0,D2rhow_940.0
0,,-0.0018808602,0,0.043332,0.04502,0.047565,0.051611,0.055994,0.059616,0.062693,0.066474,0.072081,0.07931,0.086663,0.093643,0.100499,0.107781,0.114181,0.120026,0.125419,0.131031,0.137048,0.142113,0.146872,0.151336,0.153723,0.150949,0.141865,0.128084,0.117385,0.111799,0.10789,0.104778,0.099814,0.09032,0.082172,0.079798,0.079117,0.073236,0.060435,0.044475,0.030037,0.021849,0.01934,0.018314,0.018262,0.018466,0.019432,0.020718,0.021159,0.019574,0.015718,0.012695,0.011252,0.010227,0.009344,0.008459,0.007708,0.007107,0.006573,0.005697,0.004994,0.004532,,9.6526299e-05,0.00010327708,6.658474e-05,5.8189961e-05,5.8785297e-05,7.2516249e-05,8.2560489e-05,8.3183134e-05,6.3111038e-05,3.4496696e-05,4.5114425e-06,-1.9078049e-05,-3.5135726e-05,-3.7899394e-05,-3.5594516e-05,-3.2000655e-05,-4.2820471e-05,-8.3925938e-05,-0.00015391338,-0.00024924354,-0.00032698673,-0.00035291933,-0.00031110383,-0.00020120706,-5.1788738e-05,3.7609919e-05,6.716369e-05,8.1746682e-05,6.2406467e-05,9.2413567e-06,-1.5402261e-05,-4.4076684e-05,-0.00011835163,-0.00017263095,-0.00014920531,-6.6830521e-05,6.2723251e-05,0.00020858594,0.0002995849,0.00030189524,0.00024559506,0.0001503359,4.8189415e-05,-2.3594953e-05,-5.9227702e-05,-7.5247146e-05,-6.3040035e-05,-2.4638156e-05,9.5581408e-06,2.906221e-05,3.9750942e-05,3.5954995e-05,2.0722049e-05,9.8913103e-06,8.5750178e-06,8.8098749e-06,1.9919165e-05,,
1,,-0.0019900617,0,0.038034,0.039541,0.041878,0.045551,0.049571,0.052972,0.055926,0.059486,0.064654,0.071258,0.078014,0.084509,0.090967,0.097835,0.10387,0.109394,0.114522,0.119866,0.125598,0.130416,0.134948,0.139221,0.141547,0.139028,0.130657,0.117924,0.107938,0.10269,0.099005,0.096082,0.091467,0.082555,0.07495,0.07277,0.072148,0.066692,0.0548,0.040135,0.027094,0.019685,0.017411,0.016479,0.016391,0.016566,0.0174,0.018533,0.018937,0.017512,0.014092,0.011416,0.010135,0.009201,0.008395,0.007638,0.006954,0.00642,0.005923,0.005179,0.00448,0.004048,,9.8272656e-05,0.00010560787,6.9489594e-05,6.0876867e-05,6.0600972e-05,7.3160199e-05,8.3206382e-05,8.4435914e-05,6.55251e-05,3.8013555e-05,8.5767408e-06,-1.5486115e-05,-3.2495652e-05,-3.6382175e-05,-3.4942722e-05,-3.1871889e-05,-4.3291549e-05,-8.5965333e-05,-0.00015777005,-0.00025537096,-0.00033576441,-0.00036309003,-0.00032059617,-0.00020881665,-5.6576501e-05,3.5386553e-05,6.6676663e-05,8.2696575e-05,6.3821748e-05,1.0088166e-05,-1.4226594e-05,-4.2433875e-05,-0.00011660169,-0.00017110898,-0.00014698015,-6.3371919e-05,6.6400768e-05,0.00021080789,0.00030095364,0.00030230312,0.00024458106,0.00014913333,4.8305644e-05,-2.2185569e-05,-5.7098303e-05,-7.3136208e-05,-6.1404666e-05,-2.3870929e-05,9.1285312e-06,2.8087327e-05,3.8733281e-05,3.5392551e-05,1.9768488e-05,9.3324537e-06,8.0549391e-06,8.4148024e-06,1.928867e-05,,
2,,-0.0021971722,0,0.026188,0.027357,0.029331,0.03254,0.036328,0.039902,0.043313,0.047266,0.052493,0.058851,0.06536,0.071857,0.078421,0.08531,0.091584,0.097415,0.102813,0.108344,0.114141,0.119064,0.123615,0.127842,0.13033,0.128453,0.121015,0.109299,0.100188,0.095576,0.092352,0.08974,0.085479,0.077407,0.070651,0.068442,0.067177,0.061384,0.049737,0.035709,0.023687,0.017149,0.015215,0.01438,0.014347,0.014513,0.015212,0.016166,0.016495,0.015279,0.012414,0.01028,0.009271,0.008561,0.007976,0.007388,0.006865,0.006385,0.005984,0.005418,0.0048,0.004336,,0.00010397498,0.00011687085,8.8628959e-05,8.0692037e-05,7.6528085e-05,8.202789e-05,8.6146227e-05,8.3826404e-05,6.6531995e-05,4.2988401e-05,1.5717451e-05,-8.0281507e-06,-2.5974195e-05,-3.4230418e-05,-3.8153265e-05,-3.8622442e-05,-5.1720318e-05,-9.4610974e-05,-0.00016635605,-0.00026401668,-0.00034330119,-0.00036973804,-0.00032850906,-0.00021651245,-6.1931448e-05,3.1754203e-05,6.4049264e-05,7.9440897e-05,5.6770494e-05,-1.7919979e-06,-3.1858465e-05,-6.5274339e-05,-0.00013583344,-0.00017897172,-0.00014384204,-5.0091229e-05,8.8492115e-05,0.00023185846,0.00031337808,0.0003070507,0.00024418089,0.00014527564,4.6103219e-05,-1.9516486e-05,-5.112733e-05,-6.5482862e-05,-5.3662192e-05,-1.9073374e-05,9.8853121e-06,2.6124071e-05,3.4908119e-05,3.0920109e-05,1.5886876e-05,5.7734915e-06,5.45419e-06,6.0536948e-06,1.6668839e-05,,
3,,-0.0037977944,0,0.030761,0.03182,0.03333,0.03579,0.038427,0.040564,0.042276,0.044341,0.047385,0.051414,0.055951,0.06043,0.065115,0.070268,0.074564,0.078603,0.082967,0.087789,0.092921,0.097938,0.103559,0.109611,0.114182,0.114799,0.111309,0.104589,0.097952,0.09346,0.090544,0.088931,0.085591,0.075323,0.065463,0.065126,0.070999,0.071339,0.061264,0.045622,0.030405,0.021524,0.018894,0.017901,0.0179,0.018283,0.019485,0.02106,0.02162,0.019758,0.015316,0.011941,0.010404,0.00936,0.008471,0.007582,0.006808,0.006214,0.005588,0.004878,0.004148,0.003628,,5.8627118e-05,6.1739021e-05,3.6815767e-05,2.9835013e-05,3.1309662e-05,4.3162926e-05,5.4741446e-05,6.3292168e-05,5.6984258e-05,4.0735082e-05,2.4575618e-05,1.0653359e-05,-1.2896172e-06,1.255975e-06,1.29186e-05,2.3028077e-05,2.0852549e-05,-4.3454492e-06,-5.6087133e-05,-0.00013415383,-0.00021476612,-0.00026417528,-0.00025866917,-0.00020044576,-0.00011229762,-6.1509132e-05,-4.0791152e-05,-6.5209773e-06,2.4928861e-05,2.661097e-05,4.8052258e-05,4.5730947e-05,-5.2162211e-05,-0.00017686259,-0.00021414934,-0.00016430844,-4.4189013e-05,0.0001267133,0.00026597513,0.00030620558,0.00026399024,0.00016585598,5.1332371e-05,-3.0866707e-05,-7.1893354e-05,-8.9594752e-05,-7.3704425e-05,-2.6728718e-05,1.3518552e-05,3.6255064e-05,4.7592481e-05,4.3140498e-05,2.4110234e-05,1.0950532e-05,8.9936781e-06,1.0159941e-05,2.0146063e-05,,
4,,-0.0044235995,0,0.035594,0.036671,0.038074,0.040428,0.042936,0.044866,0.046279,0.048022,0.05082,0.054719,0.059219,0.063664,0.068327,0.073505,0.077833,0.082059,0.086801,0.09199,0.097446,0.10282,0.108982,0.115645,0.120918,0.122654,0.120956,0.116663,0.111539,0.107377,0.104825,0.103787,0.100809,0.089764,0.078462,0.078981,0.08838,0.09235,0.084066,0.068352,0.051218,0.040095,0.036483,0.034941,0.035161,0.035729,0.037455,0.039675,0.040382,0.03769,0.031035,0.025616,0.02294,0.020996,0.019254,0.017494,0.015857,0.014503,0.013214,0.011475,0.009482,0.007884,,4.1615593e-05,4.3088251e-05,2.4073633e-05,1.9235517e-05,2.200758e-05,3.3684894e-05,4.4859773e-05,5.3245263e-05,4.9078506e-05,3.6760152e-05,2.4913914e-05,1.4544667e-05,5.4401733e-06,8.1126151e-06,1.7684894e-05,2.4719004e-05,2.2804548e-05,5.4878181e-06,-2.9674066e-05,-8.3343801e-05,-0.00014271792,-0.00018394802,-0.00018640823,-0.00015291825,-0.00010193828,-7.653059e-05,-6.6590146e-05,-3.4715755e-05,7.6318354e-06,3.2030319e-05,6.9635084e-05,8.1451002e-05,-8.3118571e-06,-0.00014240606,-0.00020534055,-0.00018809746,-9.9971846e-05,5.3162967e-05,0.00019770439,0.00025580509,0.00023634434,0.00015471576,4.6756903e-05,-3.9844071e-05,-8.6310774e-05,-0.00010753438,-9.0806714e-05,-3.8319437e-05,9.0092041e-06,3.5941527e-05,5.0260964e-05,4.6159177e-05,2.3948024e-05,7.7357878e-06,7.8743909e-06,1.0620466e-05,3.3693557e-05,,
5,,-0.0041580502,0,0.034796,0.035911,0.037434,0.039966,0.042689,0.044821,0.046451,0.048422,0.051482,0.055659,0.060393,0.065064,0.069912,0.075241,0.07977,0.084198,0.089061,0.09433,0.099872,0.105267,0.111338,0.117796,0.122872,0.124528,0.122755,0.118324,0.113278,0.109339,0.106897,0.105824,0.102902,0.092349,0.081504,0.081816,0.090308,0.093336,0.084592,0.068598,0.051168,0.039887,0.036236,0.034709,0.034902,0.035477,0.037219,0.039478,0.040192,0.037463,0.030711,0.025239,0.022554,0.020585,0.018859,0.017054,0.015383,0.014051,0.012791,0.011011,0.009172,0.007708,,4.5170138e-05,4.7090083e-05,2.7196366e-05,2.175795e-05,2.3772178e-05,3.4597583e-05,4.5007286e-05,5.2468501e-05,4.7745779e-05,3.5283278e-05,2.3073626e-05,1.2548213e-05,3.7370361e-06,5.9398303e-06,1.4292449e-05,2.0305134e-05,1.7673781e-05,1.071398e-07,-3.4323305e-05,-8.6371818e-05,-0.00014250879,-0.00018031628,-0.00018122482,-0.00014750579,-9.6031542e-05,-7.0330848e-05,-6.1292534e-05,-3.1927659e-05,6.0641125e-06,2.5096426e-05,5.6449816e-05,6.3979601e-05,-2.385789e-05,-0.00014958858,-0.00020371132,-0.00018053484,-8.9097454e-05,6.4099597e-05,0.00020464987,0.00025860118,0.00023727608,0.0001553827,4.6820091e-05,-3.9907431e-05,-8.6423245e-05,-0.0001075255,-9.0704551e-05,-3.8103197e-05,9.1025971e-06,3.6088969e-05,5.0625696e-05,4.6095826e-05,2.4749293e-05,9.3468758e-06,9.2568784e-06,1.1618239e-05,3.3633325e-05,,
6,,-0.0027125428,0,0.025575,0.026644,0.028396,0.031209,0.034438,0.037373,0.040038,0.043093,0.047105,0.05202,0.057265,0.062527,0.067941,0.073717,0.078747,0.083429,0.088139,0.093216,0.098572,0.103423,0.108327,0.113243,0.116468,0.11542,0.109308,0.099208,0.091065,0.086547,0.083404,0.081118,0.077334,0.068789,0.061126,0.059569,0.060653,0.056835,0.046109,0.032405,0.020579,0.014456,0.012773,0.01208,0.012086,0.01231,0.01299,0.013902,0.014154,0.012921,0.01025,0.008333,0.007489,0.006922,0.006441,0.005942,0.005458,0.005075,0.004762,0.004403,0.004018,0.003883,,9.4265857e-05,0.00010343626,7.2223102e-05,6.1363596e-05,5.6964898e-05,6.4009853e-05,7.1441893e-05,7.5418316e-05,6.4361749e-05,4.4141814e-05,2.1979414e-05,3.0051905e-06,-1.236562e-05,-1.4434767e-05,-8.9100026e-06,-3.5752617e-06,-1.4237706e-05,-5.63526e-05,-0.00013224949,-0.00023940881,-0.00033276678,-0.00037422715,-0.00034390077,-0.00023981701,-8.9768628e-05,-6.8971584e-07,3.1670625e-05,5.7577197e-05,5.4367907e-05,9.6771356e-06,-2.8433184e-06,-2.3225125e-05,-0.00010665963,-0.00018109967,-0.00016583443,-7.9873317e-05,5.9132577e-05,0.00021621184,0.00031481306,0.0003180505,0.00025408991,0.00014888009,4.3698425e-05,-2.2457992e-05,-5.3079968e-05,-6.5494854e-05,-5.1482361e-05,-1.5821237e-05,1.2541568e-05,2.8144629e-05,3.5696314e-05,3.1262426e-05,1.6778394e-05,9.1492918e-06,8.6003343e-06,9.0155714e-06,1.4343274e-05,,
7,,-0.002400772,0,0.042705,0.044376,0.04679,0.050317,0.054008,0.057036,0.059422,0.062113,0.065988,0.070973,0.076134,0.081151,0.086213,0.091745,0.096753,0.101669,0.106687,0.111848,0.117114,0.121967,0.127296,0.132665,0.136625,0.137618,0.13564,0.131484,0.127128,0.123806,0.121463,0.120039,0.117317,0.10891,0.100117,0.09994,0.105826,0.106867,0.097727,0.081946,0.06438,0.052528,0.048483,0.0465,0.046841,0.047451,0.04929,0.051669,0.052468,0.049601,0.042346,0.036319,0.033206,0.030916,0.028915,0.026854,0.024885,0.023233,0.021734,0.019759,0.017168,0.015271,,5.631673e-05,5.7353533e-05,3.0164597e-05,2.1192697e-05,1.7842739e-05,2.501427e-05,3.285205e-05,3.7751598e-05,3.2994283e-05,2.4093499e-05,1.4249488e-05,5.7454593e-06,-1.4522725e-06,-2.1185212e-06,3.4435326e-07,1.6543928e-06,-3.2114685e-06,-1.820955e-05,-4.3197619e-05,-8.0245539e-05,-0.00011795971,-0.00014072071,-0.00013721355,-0.00010957171,-6.8702219e-05,-4.7464606e-05,-4.0686086e-05,-2.0092264e-05,5.1952427e-06,1.391262e-05,2.6331796e-05,2.065371e-05,-5.2540073e-05,-0.00014629399,-0.00017941554,-0.0001498835,-6.3383458e-05,6.9735278e-05,0.00018737309,0.00023045468,0.00021407918,0.00014172757,4.425688e-05,-3.6430329e-05,-8.1031563e-05,-0.00010300654,-8.775768e-05,-3.8878232e-05,5.7529452e-06,3.1777817e-05,4.6300542e-05,4.3156447e-05,2.1731685e-05,6.8122058e-06,7.5271131e-06,1.0177136e-05,3.4270635e-05,,
8,,-0.0025537143,0,0.032478,0.033848,0.035963,0.039112,0.042449,0.045218,0.047454,0.050031,0.053677,0.058282,0.063099,0.067789,0.072538,0.077727,0.082387,0.086875,0.091452,0.096234,0.101111,0.105634,0.110508,0.115431,0.118927,0.119209,0.116135,0.110497,0.105172,0.101517,0.098831,0.097022,0.094104,0.085919,0.077617,0.076786,0.080847,0.080225,0.070642,0.055731,0.040434,0.030928,0.027882,0.026487,0.026549,0.026999,0.028305,0.030014,0.030555,0.028389,0.023184,0.019049,0.017025,0.015556,0.014281,0.012967,0.011717,0.010662,0.009733,0.008493,0.007062,0.005925,,6.7839202e-05,7.0142724e-05,3.9543783e-05,2.9227797e-05,2.5632907e-05,3.3550639e-05,4.2076659e-05,4.7291991e-05,4.1244001e-05,2.9392334e-05,1.6593331e-05,5.9283266e-06,-3.3206606e-06,-4.2779682e-06,-7.129947e-07,1.5755687e-06,-5.0009349e-06,-2.6355874e-05,-6.3551262e-05,-0.00011788844,-0.00017070988,-0.00019995263,-0.00019184045,-0.00014765472,-8.1680274e-05,-4.4843877e-05,-3.235899e-05,-8.3116236e-06,1.46488e-05,1.2534746e-05,1.9824244e-05,1.0041758e-05,-7.1334372e-05,-0.00016824681,-0.00019178062,-0.00014398504,-3.6377688e-05,0.00011426363,0.00023581677,0.00027161109,0.00024043877,0.00015467498,4.7965098e-05,-3.3071985e-05,-7.5392957e-05,-9.5067622e-05,-7.951636e-05,-3.1920224e-05,9.5930196e-06,3.3037083e-05,4.5751324e-05,4.1483328e-05,2.1499533e-05,7.6784045e-06,8.1071985e-06,1.0046744e-05,2.8858835e-05,,
9,,0.0035846104,0,0.027903,0.028535,0.02898,0.029693,0.030337,0.030577,0.030397,0.030399,0.030834,0.031806,0.033382,0.034706,0.036226,0.038818,0.042098,0.045862,0.049846,0.053884,0.058189,0.063282,0.070088,0.077945,0.083572,0.083791,0.080292,0.076587,0.073242,0.069721,0.066781,0.065133,0.062999,0.05367,0.044011,0.045964,0.05763,0.064399,0.058259,0.045649,0.033074,0.025598,0.023243,0.022176,0.022118,0.022382,0.02333,0.024592,0.024906,0.023153,0.019166,0.016109,0.014675,0.013646,0.01272,0.011766,0.010835,0.010034,0.009334,0.008374,0.007219,0.006425,,1.1565397e-05,8.8138015e-06,-4.0311185e-06,-5.9938819e-06,8.1367723e-07,1.5198994e-05,2.7379307e-05,4.2503766e-05,5.4802093e-05,6.0094101e-05,6.7274337e-05,7.3485613e-05,7.0727806e-05,6.7653224e-05,7.2957655e-05,8.0491933e-05,7.4721657e-05,3.8702464e-05,-2.5925868e-05,-0.0001101073,-0.00020374229,-0.00027043277,-0.00026467492,-0.00019981056,-0.00012476591,-9.2355471e-05,-7.3659529e-05,-2.364633e-05,4.7553533e-05,9.3094613e-05,0.00015007065,0.00016986599,4.9236789e-05,-0.0001523564,-0.00026432709,-0.00025262504,-0.00015633162,1.3652386e-05,0.00018487244,0.00026401031,0.00024107828,0.00015258622,4.6435504e-05,-3.0764453e-05,-6.9976242e-05,-8.6895759e-05,-7.123092e-05,-2.5987981e-05,1.2093355e-05,3.2770695e-05,4.315595e-05,3.780804e-05,1.7720772e-05,5.366543e-06,6.4100374e-06,8.714421e-06,2.6994208e-05,,
