icase,CHL,MALH,P_LUB,rhow_350.0,rhow_360.0,rhow_370.0,rhow_380.0,rhow_390.0,rhow_400.0,rhow_410.0,rhow_420.0,rhow_430.0,rhow_440.0,rhow_450.0,rhow_460.0,rhow_470.0,rhow_480.0,rhow_490.0,rhow_500.0,rhow_510.0,rhow_520.0,rhow_530.0,rhow_540.0,rhow_550.0,rhow_560.0,rhow_570.0,rhow_580.0,rhow_590.0,rhow_600.0,rhow_610.0,rhow_620.0,rhow_630.0,rhow_640.0,rhow_650.0,rhow_660.0,rhow_670.0,rhow_680.0,rhow_690.0,rhow_700.0,rhow_710.0,rhow_720.0,rhow_730.0,rhow_740.0,rhow_750.0,rhow_760.0,rhow_770.0,rhow_780.0,rhow_790.0,rhow_800.0,rhow_810.0,rhow_820.0,rhow_830.0,rhow_840.0,rhow_850.0,rhow_860.0,rhow_870.0,rhow_880.0,rhow_890.0,D2rhow_350.0,D2rhow_360.0,D2rhow_370.0,D2rhow_380.0,D2rhow_390.0,D2rhow_400.0,D2rhow_410.0,D2rhow_420.0,D2rhow_430.0,D2rhow_440.0,D2rhow_450.0,D2rhow_460.0,D2rhow_470.0,D2rhow_480.0,D2rhow_490.0,D2rhow_500.0,D2rhow_510.0,D2rhow_520.0,D2rhow_530.0,D2rhow_540.0,D2rhow_550.0,D2rhow_560.0,D2rhow_570.0,D2rhow_580.0,D2rhow_590.0,D2rhow_600.0,D2rhow_610.0,D2rhow_620.0,D2rhow_630.0,D2rhow_640.0,D2rhow_650.0,D2rhow_660.0,D2rhow_670.0,D2rhow_680.0,D2rhow_690.0,D2rhow_700.0,D2rhow_710.0,D2rhow_720.0,D2rhow_730.0,D2rhow_740.0,D2rhow_750.0,D2rhow_760.0,D2rhow_770.0,D2rhow_780.0,D2rhow_790.0,D2rhow_800.0,D2rhow_810.0,D2rhow_820.0,D2rhow_830.0,D2rhow_840.0,D2rhow_850.0,D2rhow_860.0,D2rhow_870.0,D2rhow_880.0,D2rhow_890.0
0,,0.0017374611,0,0.002767,0.002694,0.002567,0.002481,0.002427,0.002387,0.002352,0.002345,0.002351,0.002375,0.002402,0.002438,0.002467,0.002508,0.002567,0.002617,0.002698,0.002788,0.002879,0.002985,0.003088,0.003204,0.003306,0.003356,0.003347,0.003251,0.003159,0.003148,0.00314,0.003139,0.003119,0.002957,0.002872,0.003051,0.003241,0.003095,0.002755,0.002346,0.002002,0.001839,0.001793,0.001758,0.001711,0.001704,0.001689,0.001732,0.001746,0.001606,0.001585,0.001536,0.00152,0.001499,0.001426,0.001384,0.001277,,-4.4200323e-05,-2.8691438e-05,2.0161551e-05,3.7221325e-05,5.1050081e-05,5.5315024e-05,4.4458805e-05,3.7092084e-05,3.1534733e-05,2.5848142e-05,2.2487884e-05,2.5718901e-05,2.7657512e-05,2.9208401e-05,3.3085622e-05,3.1793215e-05,2.546042e-05,1.3699515e-05,-7.2374798e-06,-3.9806139e-05,-7.1211632e-05,-8.7366721e-05,-8.9563813e-05,-7.3667205e-05,-3.812601e-05,-2.0290792e-05,-1.5250404e-05,1.641357e-05,4.006462e-05,1.3957997e-05,-2.220446e-18,-3.2310178e-05,-0.00012407108,-0.00019437803,-0.00016516963,-0.00010274637,-1.4087237e-05,9.7059774e-05,0.00016180937,0.00016038772,0.0001273021,6.8497577e-05,2.3134087e-05,-3.8772213e-07,-1.9515347e-05,-3.0371567e-05,-9.6930533e-06,-1.0597738e-05,-1.3699515e-05,-4.006462e-06,3.2310178e-06,2.3263328e-05,,
1,,-0.0012926569,0,0.002665,0.002566,0.002442,0.002364,0.002292,0.002217,0.002182,0.002177,0.002191,0.002201,0.002221,0.002254,0.00227,0.002321,0.002361,0.002406,0.002475,0.002555,0.002634,0.002718,0.002803,0.002905,0.002988,0.003044,0.003029,0.002933,0.002859,0.002832,0.002813,0.002813,0.002781,0.002618,0.002509,0.00259,0.002747,0.002706,0.002451,0.00208,0.001768,0.001612,0.001579,0.001561,0.001544,0.001547,0.001549,0.001556,0.001579,0.001514,0.001451,0.001416,0.001395,0.00135,0.001344,0.001325,0.001249,,-5.6762749e-05,-3.917221e-05,1.8920916e-05,4.1685144e-05,6.6814486e-05,6.7405765e-05,5.2919438e-05,4.4789357e-05,3.7102735e-05,2.6755358e-05,2.2025129e-05,2.8381375e-05,2.7050998e-05,2.9120473e-05,3.1337768e-05,3.0894309e-05,2.187731e-05,1.4338507e-05,-6.7997044e-06,-3.9467849e-05,-7.0362158e-05,-8.706578e-05,-9.4752402e-05,-7.7900961e-05,-4.1685144e-05,-2.8824834e-05,-2.4685883e-05,1.1825573e-06,2.2172949e-05,1.1382114e-05,1.0938655e-05,-1.5668884e-05,-8.8543976e-05,-0.00015801922,-0.00015550628,-0.00010687361,-1.5816704e-05,8.8839616e-05,0.00015846268,0.0001631929,0.00013422025,7.4796748e-05,1.8477458e-05,-1.0347376e-05,-2.0399113e-05,-3.6511456e-05,-2.0694752e-05,-4.4345898e-06,-5.0258684e-06,2.2172949e-06,1.8920916e-05,2.5129342e-05,,
2,,0.0001942604,0,0.002712,0.002584,0.00245,0.002363,0.002312,0.002261,0.002245,0.002253,0.002255,0.002259,0.002292,0.002334,0.002359,0.002405,0.002454,0.002491,0.002581,0.00268,0.002763,0.00286,0.002962,0.003087,0.003181,0.003225,0.003213,0.003108,0.00301,0.00298,0.002963,0.002976,0.002951,0.002756,0.002676,0.002858,0.003062,0.002909,0.002583,0.002161,0.001801,0.001613,0.001577,0.001535,0.001503,0.0015,0.001488,0.001495,0.001524,0.001395,0.001356,0.001298,0.001242,0.00122,0.001179,0.001158,0.001022,,-4.6613957e-05,-2.7088347e-05,3.3138536e-05,4.7713991e-05,6.6277071e-05,5.8851839e-05,4.1663802e-05,3.5476109e-05,3.4101066e-05,2.3100722e-05,2.1725679e-05,2.9563424e-05,2.8600894e-05,2.9013407e-05,3.7401169e-05,3.5613613e-05,2.4750773e-05,1.4300447e-05,-7.2877277e-06,-4.4688897e-05,-8.0165005e-05,-9.6528017e-05,-9.9553111e-05,-8.1127535e-05,-4.1663802e-05,-2.4338261e-05,-1.4162943e-05,2.1588175e-05,4.4413888e-05,1.5812994e-05,1.1137848e-05,-2.9013407e-05,-0.00013090409,-0.0002110691,-0.00017738054,-0.00012031626,-1.9663114e-05,0.00010395325,0.00018205569,0.00017188037,0.00014259196,7.5627363e-05,2.1588175e-05,-8.9377793e-06,-2.3513235e-05,-4.0288759e-05,-1.4850464e-05,-7.425232e-06,-1.182537e-05,4.5376418e-06,1.4575455e-05,2.9700928e-05,,
3,,1.8843873e-05,1,0.001522,0.00145,0.001344,0.001268,0.001219,0.001167,0.001135,0.001113,0.001114,0.001119,0.001132,0.001147,0.001163,0.001192,0.001222,0.00125,0.001301,0.001357,0.001405,0.001461,0.001522,0.001586,0.001636,0.001661,0.00165,0.001594,0.001551,0.001531,0.001527,0.001534,0.001515,0.001417,0.001364,0.001443,0.001522,0.001479,0.001336,0.001076,0.000879,0.0008,0.000792,0.00076,0.000756,0.000772,0.000774,0.000788,0.000787,0.000739,0.000692,0.000668,0.000673,0.000659,0.000643,0.000622,0.000592,,-8.5192698e-05,-6.2474645e-05,2.7045301e-05,5.4901961e-05,8.6544963e-05,8.8438134e-05,7.5997295e-05,6.2745098e-05,5.4901961e-05,4.137931e-05,3.8404327e-05,3.8945233e-05,3.6511156e-05,3.6781609e-05,4.1649763e-05,3.5429344e-05,2.2988506e-05,1.1629479e-05,-1.352265e-05,-5.4090602e-05,-8.6544963e-05,-0.00010385396,-0.00010547667,-8.2488168e-05,-4.0838404e-05,-2.6774848e-05,-1.6768087e-05,1.352265e-05,2.8127113e-05,1.1629479e-05,1.4334009e-05,-3.2724814e-05,-0.00012981744,-0.00019202164,-0.00017606491,-0.00013387424,-8.6544963e-06,0.00012359703,0.00018823529,0.00018471941,0.00016308316,8.1947262e-05,7.3022312e-06,-2.1636241e-05,-3.0020284e-05,-4.1920216e-05,-2.1365788e-05,2.7045301e-06,8.1135903e-06,9.1954023e-06,1.6497634e-05,2.5963489e-05,,
4,,5.0322498e-05,0,0.002728,0.002625,0.002488,0.002379,0.002302,0.002216,0.002136,0.002097,0.002092,0.002102,0.00211,0.002122,0.002134,0.002164,0.002195,0.002223,0.002285,0.002363,0.002429,0.002506,0.002593,0.002684,0.002756,0.002792,0.002779,0.002684,0.002604,0.002575,0.002552,0.002555,0.002521,0.002357,0.002241,0.002312,0.002435,0.002403,0.002184,0.001832,0.001558,0.001444,0.001425,0.001385,0.001382,0.001404,0.001408,0.001436,0.001444,0.001381,0.001329,0.001301,0.001291,0.001277,0.001256,0.00124,0.0012,,-8.1398252e-05,-6.508531e-05,1.0320433e-05,3.7619642e-05,6.7582189e-05,7.9067832e-05,7.1244278e-05,5.9758635e-05,4.8772368e-05,3.6454432e-05,2.9463171e-05,3.196005e-05,3.2126509e-05,3.6287973e-05,4.2779859e-05,3.9284228e-05,2.7299209e-05,1.6312942e-05,-6.3254266e-06,-4.6441948e-05,-7.9733666e-05,-9.5547233e-05,-0.00010037453,-8.2729921e-05,-4.2280483e-05,-2.7798585e-05,-2.5468165e-05,0,1.7311694e-05,7.4906367e-06,1.2317936e-05,-1.2484395e-05,-8.5559717e-05,-0.00014498543,-0.00014315439,-0.00010420308,-6.8248023e-06,9.9875156e-05,0.00015896796,0.00016462755,0.00014282147,7.4739908e-05,1.3150229e-05,-1.181856e-05,-2.5967541e-05,-3.7619642e-05,-2.0640866e-05,-2.3304203e-06,9.9875156e-07,8.988764e-06,1.4981273e-05,2.0807324e-05,,
5,,0.00027071217,0,0.001768,0.001668,0.001557,0.00147,0.001405,0.001342,0.001284,0.001255,0.001257,0.00127,0.001297,0.001323,0.00135,0.00139,0.001433,0.001479,0.001558,0.001653,0.001742,0.001845,0.001952,0.002072,0.002168,0.002211,0.002189,0.00207,0.00197,0.00193,0.001903,0.001903,0.001868,0.001663,0.001501,0.001563,0.00172,0.001716,0.001465,0.001073,0.000758,0.000611,0.000579,0.000541,0.00053,0.00054,0.000548,0.000567,0.000571,0.000525,0.000458,0.000412,0.000394,0.000375,0.000357,0.000334,0.000306,,-8.951049e-05,-7.039627e-05,1.981352e-05,5.3146853e-05,8.8811189e-05,9.8601399e-05,9.2540793e-05,8.0652681e-05,6.9463869e-05,5.2913753e-05,4.5687646e-05,4.8484848e-05,5.1048951e-05,5.8041958e-05,6.7832168e-05,6.5034965e-05,4.9417249e-05,2.7272727e-05,-1.5850816e-05,-8.2750583e-05,-0.00014358974,-0.00017552448,-0.00018111888,-0.00014685315,-7.4592075e-05,-4.7785548e-05,-4.4522145e-05,-7.4592075e-06,2.4009324e-05,1.1655012e-05,2.5407925e-05,2.3310023e-07,-0.00010839161,-0.00021585082,-0.00022960373,-0.00016923077,-2.6806527e-05,0.00013682984,0.00024382284,0.00026223776,0.00022237762,0.00012540793,3.1701632e-05,-1.7016317e-05,-3.7529138e-05,-5.2680653e-05,-3.7995338e-05,-9.7902098e-06,6.993007e-06,1.981352e-05,2.960373e-05,3.9160839e-05,,
6,,0.00011559211,0,0.00299,0.002869,0.002689,0.002547,0.002438,0.002329,0.002266,0.00223,0.002216,0.002223,0.00223,0.002258,0.00228,0.00232,0.002362,0.002403,0.002488,0.002594,0.002686,0.0028,0.00293,0.003063,0.00316,0.003205,0.003178,0.003052,0.002938,0.002883,0.002856,0.002868,0.002821,0.002601,0.002436,0.002549,0.002709,0.002687,0.002412,0.001923,0.001571,0.001429,0.001403,0.001345,0.001336,0.001394,0.001384,0.001392,0.001398,0.001319,0.001273,0.001232,0.001198,0.001192,0.001166,0.001131,0.001072,,-8.9765538e-05,-6.8328991e-05,1.6672869e-05,5.0167473e-05,8.3662077e-05,8.8574619e-05,7.5772237e-05,6.4756234e-05,5.2698176e-05,4.0491254e-05,3.5429847e-05,3.9300335e-05,3.9002605e-05,4.4510607e-05,5.2698176e-05,5.1358392e-05,3.7513956e-05,2.277633e-05,-8.9318943e-06,-6.0290287e-05,-0.00010420543,-0.00012549311,-0.00012921474,-0.00010241905,-5.2549311e-05,-3.155936e-05,-2.5307034e-05,6.252326e-06,2.2478601e-05,1.4439896e-05,2.2032006e-05,-9.8250837e-06,-9.9888351e-05,-0.00016687756,-0.00017119464,-0.00013070339,-1.1016003e-05,0.00011924079,0.00018384816,0.00018950502,0.00016672869,8.4852996e-05,8.3364347e-06,-1.5928545e-05,-2.7242278e-05,-3.855601e-05,-2.0245627e-05,-3.126163e-06,-1.1909192e-06,1.0122814e-05,1.2802382e-05,2.277633e-05,,
7,,5.8694e-05,0,0.002788,0.00266,0.002504,0.002381,0.002317,0.002231,0.002206,0.002184,0.002171,0.002177,0.002215,0.002254,0.002298,0.002349,0.002402,0.002452,0.002557,0.002681,0.002797,0.002927,0.003071,0.003227,0.003352,0.0034,0.003355,0.003187,0.003049,0.002985,0.002947,0.002924,0.002865,0.002618,0.002482,0.002659,0.002872,0.002742,0.002376,0.00189,0.001484,0.001295,0.001235,0.001197,0.001152,0.00115,0.001143,0.001174,0.001192,0.00113,0.001055,0.000977,0.000959,0.000938,0.000872,0.00083,0.000792,,-6.622903e-05,-4.6681255e-05,2.8738147e-05,4.8285923e-05,7.8920496e-05,7.3231218e-05,6.3311451e-05,5.6601021e-05,5.3245806e-05,3.6907367e-05,3.7199125e-05,3.924143e-05,3.9387309e-05,4.3763676e-05,5.5725748e-05,5.3537564e-05,4.2013129e-05,2.2611233e-05,-1.4150255e-05,-7.3377097e-05,-0.00012370532,-0.00015142232,-0.00015404814,-0.00012530999,-6.3894967e-05,-3.6907367e-05,-1.9839533e-05,2.4070022e-05,5.5288111e-05,2.9029905e-05,2.7571116e-05,-1.2983224e-05,-0.0001293946,-0.00022246535,-0.00020189643,-0.00013668855,-2.1298322e-05,0.00012268417,0.00020787746,0.00021094092,0.00017126185,0.00010444931,3.4865062e-05,-2.0423049e-06,-2.2465354e-05,-3.6323851e-05,-3.4427425e-05,-1.896426e-05,-2.7716995e-06,7.0021882e-06,1.5754923e-05,3.7636761e-05,,
8,,-0.0004028466,0,0.003286,0.003142,0.002956,0.002831,0.002724,0.002616,0.002543,0.002504,0.002495,0.002502,0.002523,0.00255,0.002588,0.002642,0.002693,0.002739,0.002832,0.002939,0.003029,0.003163,0.003302,0.003461,0.003579,0.00363,0.003597,0.003453,0.003324,0.003256,0.003226,0.003218,0.003176,0.002937,0.002754,0.002861,0.003067,0.003082,0.002794,0.002357,0.001987,0.001779,0.001733,0.001721,0.001703,0.001693,0.001707,0.001735,0.001753,0.001724,0.001654,0.001589,0.001543,0.00151,0.001487,0.001492,0.001459,,-7.7741726e-05,-5.8663206e-05,1.5444517e-05,4.412719e-05,7.4886437e-05,7.8650227e-05,6.9565217e-05,6.2686567e-05,5.3601557e-05,4.0103829e-05,3.569111e-05,3.4652823e-05,3.1148605e-05,3.6210253e-05,4.5035691e-05,4.5035691e-05,3.7508112e-05,2.7774173e-05,-4.6722907e-06,-5.3471772e-05,-9.9415964e-05,-0.00012498378,-0.00013043478,-0.0001055159,-5.5548345e-05,-3.2446463e-05,-2.3231668e-05,5.0616483e-06,2.9591175e-05,2.3750811e-05,3.1667748e-05,1.3627515e-05,-6.6060999e-05,-0.00014756652,-0.00016288125,-0.00012070084,-3.3354964e-05,7.5275795e-05,0.0001578196,0.00017534069,0.00014341337,8.7605451e-05,3.3095393e-05,-5.9701493e-06,-2.5178456e-05,-3.569111e-05,-3.348475e-05,-1.596366e-05,-1.5574302e-06,1.4016872e-05,2.4918884e-05,3.0759247e-05,,
9,,0.0022841678,0,0.0033,0.003087,0.002795,0.00259,0.002423,0.002251,0.002133,0.002037,0.001985,0.001949,0.001932,0.001924,0.001918,0.001937,0.001976,0.002004,0.002085,0.002198,0.002314,0.002436,0.002573,0.002725,0.002832,0.002866,0.002794,0.002636,0.002487,0.002406,0.002349,0.00233,0.002272,0.00199,0.001789,0.001895,0.002085,0.002089,0.001784,0.001236,0.000866,0.000767,0.000729,0.000593,0.000613,0.000724,0.000694,0.000699,0.000703,0.000567,0.000511,0.000554,0.000524,0.000487,0.000426,0.000387,0.000354,,-0.00018267113,-0.00014514122,2.0105314e-05,7.7166108e-05,0.0001397798,0.00014265199,0.00012235519,0.0001066539,9.5931067e-05,7.4868358e-05,7.0847295e-05,7.6400191e-05,8.137865e-05,8.2910483e-05,9.5165151e-05,9.1718526e-05,6.7783629e-05,3.3508856e-05,-1.9530876e-05,-9.6888463e-05,-0.00016811872,-0.00020296793,-0.00020469124,-0.00015739588,-8.1761608e-05,-4.9593107e-05,-3.6572523e-05,1.2063188e-05,4.193394e-05,3.4657731e-05,5.572044e-05,1.2254667e-05,-0.00011010053,-0.00020545716,-0.00022537099,-0.00018860699,-1.3403542e-05,0.00016984203,0.00023839157,0.0002546673,0.00024911441,0.00011048348,-1.3595022e-05,-1.2829105e-05,-2.7764481e-05,-6.2422212e-05,-1.8190522e-05,1.7041647e-05,-1.1488751e-05,9.5739588e-07,1.5892772e-05,2.6998564e-05,,
